priority,status,last_contact_date,next_follow_up_date,organization,contact_name,contact_role,channel,email_or_url,source,next_action,notes
1,ready,,,Casa INJU eventos 2026,,,Email/form,casainju@mides.gub.uy,https://www.gub.uy/ministerio-desarrollo-social/comunicacion/convocatorias/convocatoria-propuestas-para-realizacion-eventos-casa-inju-0,"Enviar consulta desde cuenta Foro Agora o completar formulario si se cuenta con datos no sensibles aprobados","Formulario requiere datos personales sensibles; no enviar desde cuenta personal."
1,ready,,,Casa INJU uso de espacios 2026,,,Email,casainju@mides.gub.uy / colectivoscasainju@gmail.com,https://www.gub.uy/ministerio-desarrollo-social/comunicacion/convocatorias/llamado-uso-espacios-casa-inju,"Pedir orientacion para charla educativa gratuita","Requiere cuenta institucional verificada."
2,ready,,,Escuela Integral Bachillerato,,,Email,bachillerato@integral.edu.uy,https://escuelaintegral.edu.uy/contacto/,"Enviar propuesta institucional","Usar propuesta PDF/link."
2,ready,,,Colegio Stella Maris Secundaria,,,Formulario/email,info@stellamaris.edu.uy,https://www.stellamaris.edu.uy/es/formulario-de-contacto,"Enviar propuesta a secretaria secundaria/direccion","Registrar respuesta y derivacion."
2,ready,,,Colegio San Ignacio,,,Email,contacto@sanignacio.edu.uy,https://www.sanignacio.edu.uy/contacto,"Enviar propuesta institucional","Pedir derivacion a bachillerato u orientacion."
2,ready,,,Colegio Ingles,,,Email,info@colegioingles.edu.uy,https://web.colegioingles.edu.uy/contacto/,"Enviar propuesta institucional","Usar email corto si es secretaria."
2,ready,,,Talleres Don Bosco Bachillerato,,,Email,secretaria@talleresdonbosco.edu.uy,https://talleresdonbosco.edu.uy/tipo-de-bachillerato/administracion/,"Enviar propuesta por foco en bachilleratos","Mencionar administracion si corresponde."
2,ready,,,HCA Secundaria,,,Email,ed.secundaria@hca.edu.uy,https://www.hca.edu.uy/contacto,"Enviar propuesta institucional","Pedir contacto de coordinacion."
2,ready,,,Colegio Santo Domingo,,,Email,info@santodomingo.edu.uy,https://santodomingo.edu.uy/informacion/secundaria/,"Enviar propuesta institucional","Registrar si deriva a secundaria."
2,ready,,,Colegio Seminario,,,Email,colegio@seminario.edu.uy / inscripciones@seminario.edu.uy,https://www.seminario.edu.uy/,"Enviar propuesta y pedir derivacion a bachillerato","Enviar a un solo canal primero para evitar duplicado."
